Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Chief Information Officer,CIO,Male,"Raleigh, NC, USA",Raleigh - Durham,North America,35,Yes,500 - 999 employees,Banking / Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),365000,"$71,000","$244,900",680900,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Security Operations,Third Party Risk Management (TPRM)",13,Per request,No,,,No,Corporate Directors & Officers (D&O) Policy,No,Yes,No,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,Monitoring and detection for AI-driven threats,Established and repeatable,10,Shadow AI,Intellectual property theft through AI platforms,"ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF),None at this time","Identity/credential theft,Insider threats,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements",No,Synthetic,CIO,Trace3
Chief Information Officer,CIO,Male,"Austin, TX, USA",Austin,North America,42,Yes,< 250 employees,Banking / Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),555000,"$154,000","$111,000",820000,"AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",10,At least quarterly,No,,,No,Not Sure,No,No,Yes,No,Business Impact,No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,20,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices","EU AI Act requirements (compliance-driven),ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","Insider threats,Phishing/social engineering",Somewhat confident,"Other,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,CDW
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,48,Yes,"10,000 - 25,000 employees",Banking / Financial Services,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),370000,"$84,000",300000,754000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",13,I do not report to the Board of Directors,Yes,"$20,000","$20,000",No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,0,Shadow AI,"AI decision-making in security tools creating blind spots,Other","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF),None at this time","Cloud misconfigurations,Zero-day exploits",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Uncertainty in defining the right skills and profile for the role",Already have a dedicated AI Security leader in place,Synthetic,CIO,Open Systems
Chief Information Officer,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,5,Yes,"5000 - 9,999 employees",Logistics / Transportation,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),370000,"$77,000",300000,747000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Third Party Risk Management (TPRM)",324,Per request,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,10,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Regulatory compliance violations",Internal / proprietary AI risk framework,"Cloud misconfigurations,Identity/credential theft",Not confident,"Other,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,CIO,HackerOne
Chief Information Officer,CIO,Male,"Dallas, TX, USA",Dallas,North America,63,No,< 250 employees,Insurance,Privately Held Company,CEO,USD (U.S. Dollar),195000,,"$160,000",355000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",14,At least quarterly,Yes,"$10,000","$10,000",No,Not Sure,No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Established and repeatable,8,Aligning AI security with enterprise risk management frameworks,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF),Other","AI-enhanced attacks,Identity/credential theft,Insider threats,Ransomware",Not confident,"Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",No,Synthetic,CIO,At-Bay
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,21,No,1000 - 4999 employees,Industrial / Manufacturing,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),305000,"$24,000","$251,000",580000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",36,At least annually,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Cloud misconfigurations,Identity/credential theft,Phishing/social engineering",Not confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,dbt Labs
Chief Information Officer,CIO,Male,"Raleigh, NC, USA",Raleigh - Durham,North America,58,Yes,"25,000+ employees",Food & Beverage,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),364000,"$26,000","$164,000",554000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",613,At least semi-annually,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,No,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,10,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Other,Third party risk attacks",Not confident,Lack of alignment on the role requirements,No,Synthetic,CIO,Ramp
Chief Information Officer,CIO,Male,"Las Vegas, NV, USA",Las Vegas,North America,29,Yes,< 250 employees,Banking / Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),315000,"$52,000",255000,622000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Trust & Safety",4,Per request,Yes,"$65,000","$65,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",Yes,No,Yes,No,"Attack Surface / Risk Assessment,Percentage of company revenue",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,5,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF),None at this time","Cloud misconfigurations,Identity/credential theft,Insider threats,IoT/OT device vulnerabilities",Not confident,"Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CIO,Devo
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,134,No,500 - 999 employees,Banking / Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),290000,"$60,000",255000,605000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,GRC,Incident Response,Security Operations,Third Party Risk Management (TPRM)",10,At least semi-annually,No,,,No,Neither,No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,5,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Insider threats",Not confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CIO,World Wide Technology
Chief Information Officer,CIO,Male,"Chicago, IL, USA",Chicago,North America,62,Yes,"25,000+ employees",Financial Services,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),365000,"$46,000","$176,000",587000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Security Operations",7,At least annually,No,,,No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Other",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"AI-generated content being used in social engineering attacks,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,IoT/OT device vulnerabilities,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",I am the AI Security leader,Synthetic,CIO,Bugcrowd
Chief Information Officer,CIO,Male,"Nashville, TN, USA",Nashville,North America,24,Yes,1000 - 4999 employees,Financial Services,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),265000,"$37,000",255000,557000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",17,I do not report to the Board of Directors,No,,,No,Not Sure,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",None at this time,"Phishing/social engineering,Zero-day exploits",Somewhat confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,Securonix
Chief Information Officer,CIO,Male,"Salt Lake City, UT, USA",Salt Lake City,North America,9,No,"5000 - 9,999 employees",Financial Services,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),260000,"$30,000",255000,545000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",6,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,Other,Established and repeatable,20,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices","NIST AI Risk Management Framework (AI RMF),None at this time","API security,Identity/credential theft",Somewhat confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Wiz
Chief Information Officer,CIO,Male,"Milan, USA",Milan,North America,70,Yes,"10,000 - 25,000 employees",BioTech,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),630000,"$52,000","$1,518,000",2200000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,Cloud Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Security Operations,Third Party Risk Management (TPRM)",84,I do not report to the Board of Directors,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,Monitoring and detection for AI-driven threats,Established and repeatable,20,Shadow AI,"Regulatory compliance violations,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"Identity/credential theft,Ransomware",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",Yes,Synthetic,CIO,Tanium
Chief Information Officer,CIO,Male,"Seattle, WA, USA",Seattle,North America,38,No,"25,000+ employees",Professional Services,Privately Held Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),420000,"$147,000","$475,000",1042000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Third Party Risk Management (TPRM)",38,Per request,Yes,"$50,000","$50,000",No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,10,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF),Other","API security,Cloud misconfigurations,Identity/credential theft,Insider threats,Ransomware",Somewhat confident,Competing with salary expectations in the market,I am the AI Security leader,Synthetic,CIO,Tanium
Chief Information Officer,CIO,Male,"Seattle, WA, USA",Seattle,North America,37,Yes,250 - 499 employees,Enterprise Software,Privately Held Company,CEO,USD (U.S. Dollar),235000,"$210,000",,445000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",16,At least quarterly,No,,,No,Corporate Indemnification Policy,No,Yes,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,20,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",Other,"API security,Zero-day exploits",Somewhat confident,Location (RTO) constraints limiting hiring,No,Synthetic,CIO,Fivetran
Chief Information Officer,CIO,Male,"Washington, DC, USA",DMV,North America,3,Yes,1000 - 4999 employees,Industrial / Manufacturing,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),380000,"$126,000","$384,000",890000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Incident Response,Infrastructure Engineering / Operations,Privacy,Security Operations,Trust & Safety",14,Per request,No,,,No,Corporate Indemnification Policy,Yes,No,No,Yes (Cash and / or Equity),Compliance and Regulatory Fine(s) Avoidance,Yes,Third-party/vendor AI risk management,Developing but inconsistent,5,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,AI-generated content being used in social engineering attacks,Data exposure/privacy breaches,Regulatory compliance violations",ISO/IEC 23894 (AI Risk Management),"AI-enhanced attacks,Cloud misconfigurations,Third party risk attacks",Very confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,Clari
Chief Information Officer,CIO,Male,"Seattle, WA, USA",Seattle,North America,6,Yes,1000 - 4999 employees,Banking / Financial Services,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),405000,"$88,000",,493000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Third Party Risk Management (TPRM)",48,At least quarterly,No,,,No,Not Sure,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics,Percentage of company revenue",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms","NIST AI Risk Management Framework (AI RMF),None at this time","API security,Ransomware",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,Already have a dedicated AI Security leader in place,Synthetic,CIO,Evolent Health
Chief Information Officer,CIO,Female,"Orlando, USA",Orlando,North America,36,Yes,"10,000 - 25,000 employees",Government,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),390000,"$52,000",,442000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Other,Security Operations",300,I do not report to the Board of Directors,No,,,No,Corporate Indemnification Policy,No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,10,Aligning AI security with enterprise risk management frameworks,"Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"Cloud misconfigurations,Insider threats",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,Rubrik
CIO,CIO,Male,"Tysons, va ,USA",DMV,North America,16,Yes,1000 - 4999 employees,Government,Privately Held Company,Other,USD (U.S. Dollar),300000,"$90,000",,390000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Corp IT Security / Enterprise Security,AI/ML Security Engineering,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Security Operations,Third Party Risk Management (TPRM),Privacy,Incident Response,Cloud Security,AI Ethics & Responsible Use",55,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Business Impact,Attack Surface / Risk Assessment",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,2,Defining clear accountability/ownership for AI risk across the business,"Regulatory compliance violations,Data exposure/privacy breaches","NIST AI Risk Management Framework (AI RMF),ISO/IEC 23894 (AI Risk Management)","AI-enhanced attacks,API security,Third party risk attacks,Cloud misconfigurations",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Actual,CIO,
CIO,CIO,Female,New York,NYC Metro,North America,84,No,1000 - 4999 employees,Education,Privately Held Company,CEO,USD (U.S. Dollar),400000,"$75,000","$760,000",1235000,"AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM),Other",110,At least quarterly,Yes,"$10,000.00","$10,000.00",Yes,Not Sure,Yes,No,No,,"Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment,Business Impact",Yes,Third-party/vendor AI risk management,Developing but inconsistent,7,Ensuring transparency and explainability of AI-driven decisions,"Integration with critical systems creating attack vectors,Data exposure/privacy breaches",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Mobile / BYOD threats,Phishing/social engineering,Zero-day exploits",Somewhat confident,Competing with salary expectations in the market,No,Actual,CIO,
CIO,CIO,Male,"Austin, TX, USA",Austin,North America,14,Yes,1000 - 4999 employees,Food & Beverage,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),300000,"$37,000","$250,000",587000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Third Party Risk Management (TPRM)",36,At least quarterly,Yes,"$20,000","$20,000",No,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","NIST AI Risk Management Framework (AI RMF),OECD AI Principles / other international guidelines","Cloud misconfigurations,Identity/credential theft,Insider threats,Phishing/social engineering",Somewhat confident,Location (RTO) constraints limiting hiring,Yes,Synthetic,CIO,OneTrust
CIO,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,43,No,250 - 499 employees,Insurance,Privately Held Company,CEO,USD (U.S. Dollar),315000,"$79,000","$200,000",594000,"AI Data Protection / Privacy and Security,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",1,I do not report to the Board of Directors,Yes,"$25,000","$25,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,3,Shadow AI,"Integration with critical systems creating attack vectors,Regulatory compliance violations,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Ransomware",Somewhat confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Veeva Systems
CIO,CIO,Female,"San Francisco, CA, USA",Bay Area,North America,29,Yes,1000 - 4999 employees,FinTech,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),320000,"$67,000","$158,000",545000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",7,At least quarterly,No,,,No,Corporate Indemnification Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,No capability in place,30,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Regulatory compliance violations,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"Insider threats,Zero-day exploits",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Veracode
CIO,CIO,Male,"Hudson, USA",Hudson,North America,135,No,< 250 employees,Healthcare,Privately Held Company,CEO,USD (U.S. Dollar),300000,"$126,000",287000,713000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Third Party Risk Management (TPRM)",2,Per request,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",Yes,Monitoring and detection for AI-driven threats,No capability in place,5,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches",None at this time,"Cloud misconfigurations,Phishing/social engineering,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Bugcrowd
CIO,CIO,Male,"Austin, TX, USA",Austin,North America,24,No,250 - 499 employees,Energy,Privately Held Company,CEO,USD (U.S. Dollar),460000,"$63,000",,523000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",1,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics,Percentage of company revenue",No,Monitoring and detection for AI-driven threats,Established and repeatable,2,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"AI-enhanced attacks,Cloud misconfigurations,Other,Ransomware",Not confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Synthetic,CIO,Sumo Logic
CIO,CIO,Male,"Washington, DC, USA",DMV,North America,9,Yes,1000 - 4999 employees,Industrial / Manufacturing,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),450000,"$210,000","$250,000",910000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Privacy,Product Security / AppSec,Third Party Risk Management (TPRM)",64,At least quarterly,No,,,No,Corporate Indemnification Policy,No,No,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Ethical Use,Developing but inconsistent,15,Establishing regulatory compliance and auditability for AI systems,"Regulatory compliance violations,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","Cloud misconfigurations,IoT/OT device vulnerabilities",Somewhat confident,"Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Snyk
