Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Chief Information Officer,CIO,Male,"Greensboro, NC, USA",Greensboro,North America,36,No,1000 - 4999 employees,Retail,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),"$595,068",,"$496,599","$1,091,667","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM)",5,At least quarterly,Yes,"$100,000","$100,000",Yes,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",Yes,Third-party/vendor AI risk management,Established and repeatable,15,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",EU AI Act requirements (compliance-driven),"AI-enhanced attacks,Identity/credential theft,Insider threats,Mobile / BYOD threats,Phishing/social engineering",Very confident,"Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,Medidata
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,21,No,1000 - 4999 employees,Industrial / Manufacturing,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),"$595,337","$55,152","$771,733","$1,422,222","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",36,At least annually,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Cloud misconfigurations,Identity/credential theft,Phishing/social engineering",Not confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,dbt Labs
Chief Information Officer,CIO,Male,"Nashville, TN, USA",Nashville,North America,24,Yes,1000 - 4999 employees,Financial Services,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),"$531,781","$87,413","$784,973","$1,404,167","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",17,I do not report to the Board of Directors,No,,,No,Not Sure,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",None at this time,"Phishing/social engineering,Zero-day exploits",Somewhat confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,Securonix
Chief Information Officer,CIO,Male,"Washington, DC, USA",DMV,North America,3,Yes,1000 - 4999 employees,Industrial / Manufacturing,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),"$634,194","$247,569","$984,209","$1,865,972","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Incident Response,Infrastructure Engineering / Operations,Privacy,Security Operations,Trust & Safety",14,Per request,No,,,No,Corporate Indemnification Policy,Yes,No,No,Yes (Cash and / or Equity),Compliance and Regulatory Fine(s) Avoidance,Yes,Third-party/vendor AI risk management,Developing but inconsistent,5,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,AI-generated content being used in social engineering attacks,Data exposure/privacy breaches,Regulatory compliance violations",ISO/IEC 23894 (AI Risk Management),"AI-enhanced attacks,Cloud misconfigurations,Third party risk attacks",Very confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,Clari
Chief Information Officer,CIO,Male,"Seattle, WA, USA",Seattle,North America,6,Yes,1000 - 4999 employees,Banking / Financial Services,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),"$426,645","$202,596","$216,533","$845,774","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Third Party Risk Management (TPRM)",48,At least quarterly,No,,,No,Not Sure,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics,Percentage of company revenue",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms","NIST AI Risk Management Framework (AI RMF),None at this time","API security,Ransomware",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,Already have a dedicated AI Security leader in place,Synthetic,CIO,Evolent Health
CIO,CIO,Male,"Tysons, va ,USA",DMV,North America,16,Yes,1000 - 4999 employees,Government,Privately Held Company,Other,USD (U.S. Dollar),"$426,645","$220,321","$174,625","$821,591","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Corp IT Security / Enterprise Security,AI/ML Security Engineering,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Security Operations,Third Party Risk Management (TPRM),Privacy,Incident Response,Cloud Security,AI Ethics & Responsible Use",55,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Business Impact,Attack Surface / Risk Assessment",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,2,Defining clear accountability/ownership for AI risk across the business,"Regulatory compliance violations,Data exposure/privacy breaches","NIST AI Risk Management Framework (AI RMF),ISO/IEC 23894 (AI Risk Management)","AI-enhanced attacks,API security,Third party risk attacks,Cloud misconfigurations",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Actual,CIO,
CIO,CIO,Female,New York,NYC Metro,North America,84,No,1000 - 4999 employees,Education,Privately Held Company,CEO,USD (U.S. Dollar),"$426,645","$134,823","$1,623,377","$2,184,845","AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM),Other",110,At least quarterly,Yes,"$10,000.00","$10,000.00",Yes,Not Sure,Yes,No,No,,"Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment,Business Impact",Yes,Third-party/vendor AI risk management,Developing but inconsistent,7,Ensuring transparency and explainability of AI-driven decisions,"Integration with critical systems creating attack vectors,Data exposure/privacy breaches",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Mobile / BYOD threats,Phishing/social engineering,Zero-day exploits",Somewhat confident,Competing with salary expectations in the market,No,Actual,CIO,
CIO,CIO,Male,"Austin, TX, USA",Austin,North America,14,Yes,1000 - 4999 employees,Food & Beverage,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),"$584,103","$84,812","$766,848","$1,435,763","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Third Party Risk Management (TPRM)",36,At least quarterly,Yes,"$20,000","$20,000",No,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","NIST AI Risk Management Framework (AI RMF),OECD AI Principles / other international guidelines","Cloud misconfigurations,Identity/credential theft,Insider threats,Phishing/social engineering",Somewhat confident,Location (RTO) constraints limiting hiring,Yes,Synthetic,CIO,OneTrust
CIO,CIO,Female,"San Francisco, CA, USA",Bay Area,North America,29,Yes,1000 - 4999 employees,FinTech,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),"$637,302","$157,093","$569,146","$1,363,541","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",7,At least quarterly,No,,,No,Corporate Indemnification Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,No capability in place,30,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Regulatory compliance violations,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"Insider threats,Zero-day exploits",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Veracode
CIO,CIO,Male,"Washington, DC, USA",DMV,North America,9,Yes,1000 - 4999 employees,Industrial / Manufacturing,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),"$426,645","$85,205","$748,771","$1,260,621","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Privacy,Product Security / AppSec,Third Party Risk Management (TPRM)",64,At least quarterly,No,,,No,Corporate Indemnification Policy,No,No,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Ethical Use,Developing but inconsistent,15,Establishing regulatory compliance and auditability for AI systems,"Regulatory compliance violations,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","Cloud misconfigurations,IoT/OT device vulnerabilities",Somewhat confident,"Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Snyk
CIO,CIO,Male,"Seattle, WA, USA",Seattle,North America,69,No,1000 - 4999 employees,Enterprise Software,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),"$595,068",$0,"$1,892,731","$2,487,799","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations",72,Per request,No,,,No,Corporate Directors & Officers (D&O) Policy,No,Yes,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,10,Other,"Dependency on AI vendors with unclear security practices,Regulatory compliance violations",ISO/IEC 23894 (AI Risk Management),"AI-enhanced attacks,Identity/credential theft",Not confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements",I am the AI Security leader,Synthetic,CIO,World Wide Technology
CIO / CISO,CIO,Male,"Boston, MA USA",Boston,North America,8,Yes,1000 - 4999 employees,Insurance,Privately Held Company,COO / President,USD (U.S. Dollar),"$588,204","$350,989","$1,186,501","$2,125,694","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Incident Response,Third Party Risk Management (TPRM)",30,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,0,Shadow AI,"Integration with critical systems creating attack vectors,AI decision-making in security tools creating blind spots,Intellectual property theft through AI platforms",None at this time,"Phishing/social engineering,Identity/credential theft,Cloud misconfigurations",Not confident,Location (RTO) constraints limiting hiring,No,Actual,CISO,
CIO/CISO,CIO,Male,Salt Lake City / Utah / USA,Salt Lake City,North America,9,Yes,1000 - 4999 employees,Manufacturing,Privately Held Company,CEO,USD (U.S. Dollar),"$528,310","$310,990","$709,311","$1,548,611","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",110,At least quarterly,No,,,Yes,Neither,Yes,No,Yes,No,"Business Impact,Other",No,Other,Established and repeatable,5,Other,Regulatory compliance violations,NIST AI Risk Management Framework (AI RMF),Other,Not confident,"Time spent screening unqualified candidates,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,CISO,
CIO/CISO,CIO,Male,"Pleasanton, CA, USA",Miami,North America,17,Yes,1000 - 4999 employees,Enterprise Software,Privately Held Company,CEO,USD (U.S. Dollar),"$426,645","$155,092","$735,332","$1,317,069","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",19,Per request,Yes,"$20,000.00","$20,000.00",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"Ransomware,Zero-day exploits",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Actual,CISO,
Chief Information Officer,CIO,Male,"Boston, MA, USA",Boston,North America,24,No,1000 - 4999 employees,Retail,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),"$426,645","$264,711","$822,949","$1,514,305","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",98,At least quarterly,Yes,"$100,000","$100,000",No,Neither,No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Developing but inconsistent,8,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Regulatory compliance violations","EU AI Act requirements (compliance-driven),ISO/IEC 23894 (AI Risk Management),Internal / proprietary AI risk framework","AI-enhanced attacks,Other",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Applied Materials
Chief Information Officer,CIO,Male,"Phoenix, AZ, USA",Phoenix,North America,8,Yes,1000 - 4999 employees,Financial Services,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),"$609,022","$310,374","$1,015,326","$1,934,722","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Third Party Risk Management (TPRM)",24,At least semi-annually,No,,,No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Percentage of company revenue",No,Workforce training and upskilling on AI risks,Developing but inconsistent,4,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Third party risk attacks,Zero-day exploits",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CIO,Cisco
Chief Information Officer,CIO,Male,"Milan, USA",Milan,North America,5,No,1000 - 4999 employees,Artificial Intelligence (AI),Publicly Traded Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),"$426,645","$164,215","$1,023,432","$1,614,292","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,Cloud Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",12,At least annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,Financial and/or Risk-Based Metrics,No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,20,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Integration with critical systems creating attack vectors",Other,"AI-enhanced attacks,Identity/credential theft,Phishing/social engineering",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CIO,Target
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,45,No,1000 - 4999 employees,HealthTech,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),"$622,985","$313,199","$815,205","$1,751,389","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Incident Response,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",2,At least quarterly,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Established and repeatable,4,Ensuring transparency and explainability of AI-driven decisions,"AI decision-making in security tools creating blind spots,Dependency on AI vendors with unclear security practices",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Insider threats",Not confident,Location (RTO) constraints limiting hiring,I am the AI Security leader,Synthetic,CIO,ServiceNow
Chief Information Officer,CIO,Male,"Charlotte, NC, USA",Charlotte,North America,10,No,1000 - 4999 employees,Enterprise Software,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),"$576,349","$335,079","$1,575,332","$2,486,760","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",6,At least quarterly,No,,,No,Neither,Yes,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,5,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Regulatory compliance violations,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Identity/credential theft,Phishing/social engineering",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,CIO,CVS Health
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,46,No,1000 - 4999 employees,Consumer Software,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),"$578,978","$201,437","$867,502","$1,647,917","AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",36,Per request,Yes,"$50,000","$50,000",No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Cloud misconfigurations,Identity/credential theft,Ransomware",Very confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,CIO,CommonSpirit Health
Chief Information Officer,CIO,Male,"Kansas City, MO, USA",Kansas City,North America,57,Yes,1000 - 4999 employees,Financial Services,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),"$577,632","$259,654","$1,814,639","$2,651,925","AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",2,At least quarterly,Yes,"$140,000","$140,000",No,Neither,No,No,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Developing but inconsistent,4,Shadow AI,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls","NIST AI Risk Management Framework (AI RMF),Other","API security,Third party risk attacks",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,Already have a dedicated AI Security leader in place,Synthetic,CIO,Proofpoint
CIO,CIO,Male,"Atlanta, GA, USA",Atlanta,North America,41,No,1000 - 4999 employees,Industrial / Manufacturing,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),"$426,645","$127,793","$924,871","$1,479,309","AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Third Party Risk Management (TPRM)",132,Per request,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Third-party/vendor AI risk management,Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Insider threats",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",No,Synthetic,CIO,UPS
CIO,CIO,Male,"Seattle, WA, USA",Seattle,North America,18,No,1000 - 4999 employees,Cloud Security,Publicly Traded Company,COO / President,USD (U.S. Dollar),"$426,645","$135,459","$1,083,218","$1,645,322","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",36,At least quarterly,Yes,"$25,000","$25,000",No,Neither,No,Yes,No,No,"Financial and/or Risk-Based Metrics,Percentage of company revenue",No,Monitoring and detection for AI-driven threats,Established and repeatable,5,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",EU AI Act requirements (compliance-driven),"API security,Third party risk attacks",Not confident,"Location (RTO) constraints limiting hiring,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,Fidelity
Chief Information Officer,CIO,Male,"Chicago, IL, USA",Chicago,North America,15,No,"25,000+ employees",Banking / Financial Services,Non-Profit,Chief Financial Officer,USD (U.S. Dollar),"$574,348",,,"$574,348","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",145,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Shadow AI,"Intellectual property theft through AI platforms,Regulatory compliance violations",Other,"AI-enhanced attacks,Phishing/social engineering,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,CIO,Johns Hopkins Medicine
CIO,CIO,Female,"Roanoke, USA",Roanoke,North America,49,No,"25,000+ employees",Healthcare,Non-Profit,Chief Information Officer,USD (U.S. Dollar),"$426,645",,"$1,083,218","$1,509,863","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",12,At least annually,No,,,No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Establishing regulatory compliance and auditability for AI systems,"Regulatory compliance violations,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"AI-enhanced attacks,Insider threats,Ransomware,Third party risk attacks,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Already have a dedicated AI Security leader in place,Synthetic,CIO,University of Michigan
